id,text,author_title
10,kochasz dawniej powiesz miłość kończy proszę powiedz kochasz dawniej ciągle zwodzisz chcesz powiedzieć prawdy proszę powiedz wiem swój kres wiem kiedyś skończy mogę zrozumieć okłamujesz kochasz dawniej powiesz miłość kończy proszę powiedz kochasz dawniej zwodzisz chcesz powiedzieć prawdy proszę powiedz,czerwone_gitary-dlaczego_nie_kochasz_mnie_tak_jak_dawniej
11,chcesz innym idź kina wiesz czas dłuży chcesz zatrzymam zamiast nudzić wolę jutro poznasz parku ulicy jutro będziesz pewna liczy innego pewnie jutro uśmiechniesz słowa miniesz miniesz obojętnie chcesz szukaj nowych marzeń słowa znam innym mów chcesz będziemy razem wracać jutro zgubić wracać jutro zgubić,czerwone_gitary-jesli_tego_chcesz
12,tag komm mit blumen und mit eigenen gedichten tag ruf dich an schon vor dem frühstück tag verspottest du mich doch so wärest du mitnichten würdest du dir einmal ansehen die statistik laut statistik oh entfalln auf jungen zwo zwo von euch ihr mädchen darum fühlt euch mal nicht so laut statistik zwo auf einen jungen so wie aber das gesetz erlaubt nur eine frau für mich weil der herr der dir bevölkerung plante einen fehler tat haben wir heute die bescherung eben dieses resultat laut statistik oh entfalln auf jungen zwo zwo von euch ihr mädchen darum fühlt euch mal nicht so man soll s nicht übertreiben doch auch du könntest mal schreiben oder an dein telefon gehn und mich wählen nein dräng mich dir nicht auf fordre nicht nehm nur in kauf will dir nur von der statistik erzählen laut statistik oh entfalln auf jungen zwo zwo von euch ihr mädchen darum fühlt euch mal nicht so laut statistik zwo auf einen jungen so wie aber das gesetz erlaubt nur eine frau für mich auch mein herz erlaubt nur eine weil s darauf nicht rücksicht nimmt da ÿ in der bevölkerungsplanung heut nun mal der plan nicht stimmt laut statistik oh entfalln auf jungen zwo doch will nur dich darum rede doch so,czerwone_gitary-laut_statistik
13,bat zgiętym grzbietem zawisł fala złamała wpół ziemią nagle ucichł wiatr uścisnął człowiek człowieka dłoń zabłysła pierwsza gwiazda pokoju wybił dzwon głosy łączą jedną pieśń łatwo objąć świat łańcuchem rąk światem cicha noc niebo pełne gwiazd światem noc noc nowiny dobrej gwiazda ziemię wznosi przebacz bratu swemu porzuć gniew wreszcie stanie pokoju świat światem cicha noc niebo pełne gwiazd światem noc noc czas krąg dłonie złączyć czas pokój trwa pokój trwa,czerwone_gitary-nad_swiatem_cicha_noc
14,deine augen schönen augen die sind heute ohne ein lächeln du bist traurig sag mir warum wer nahm dir dein strahlendes lächeln anna maria deine augen wecken träume und gedanken die dich begleiten du möchte dich glücklich seh n wie kann dir freude bereiten anna maria schliess dich nicht ein graue augen schöne augen deine augen soll n wieder lachen heut und morgen sorg dafür dass immer leuchten und lachen anna maria schliess dich nicht ein anna maria bleib nicht allein deine augen sind noch traurig sag wo ist dein lächeln geblieben will immer neben dir sein dich verwöhnen dich zärtlich lieben anna maria schliess dich nicht ein anna maria bleib nicht allein x,czerwone_gitary-anna_maria__german_
15,będziesz szła czekam słońce drogę wskaże droga powiedzie góra grzbiet swój pochyli żebyś nóg męczyła wiatr iść dopomoże żebyś szybciej gdybyś zechciała innego zawrócić wicher drzewa połamie nogi twe rzuci piargów ostre kamienie stóp twoich stoczą wiatr pomagał wiał oczy rzeka drogę przegrodzi podniosą fale woda kładkę zaleje byś mogła iść dalej innego iść dalej,czerwone_gitary-kiedy_bedziesz_szla_do_mnie
16,year skali beauforta year wole cieniu year anna m year anna m year anna m year anna m year anna m year anna m year anna m year anna m year anna m year anna m year anna m year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria year anna maria german year anna maria german year auf dem dach dieser welt year auf dem dach dieser welt year ballada kamieniu milowym year ballada pasterska year ballada pasterska year ballada pasterska year barwy jesieni year barwy jesieni year barwy jesieni year badz wsrod year badz wsrod year naszej winy year naszej winy year naszej winy year bezpowrotny bilet year bezpowrotny bilet year bialy krzyz year bialy krzyz year bialy krzyz year blady mis year blady mis year blady mis year blady mis year blady mis year boisz myszy year boisz myszy year boisz myszy year boisz myszy year byczek fernando year byczek fernando year byczek fernando year byczek fernando year byle year byle byle year byle byle year byle byle year byle byle year glupia milosc year glupia milosc year glupia milosc year glupia milosc year bylas mej pamieci wierszem year bylas mej pamieci wierszem year bylas mej pamieci wierszem year chcialbym widziec year chcialbym widziec year chcialbym widziec year chcialbym widziec year chcialbym usmiech year chcialbym usmiech year chcialbym usmiech year ciagle pada year ciagle pada year ciagle pada year ciagle pada year wyrosnie year wyrosnie year wyrosnie year dziewczyna year dziewczyna year dziewczyna year dziewczyna year consuela year consuela year widzenia year widzenia year widzenia year widzenia year widzenia year przepadlo year coz wiecej moge dac year coz wiecej moge dac year coz wiecej moge dac year coz wiecej moge dac year czekam przyjazd year czekam przyjazd year czekam przyjazd year czekam przyjazd year pedze year pedze year pedze year pedze year czerwona gitara year cztery pory year cztery pory year cztery pory year cztery pory year wie year wie year wie year slyszysz mowie year slyszysz mowie year slyszysz mowie year slyszysz mowie year dalej dalej pedza sanie year dalej dalej pedza sanie year dalej dalej pedza sanie year dawno year dawno year dawno year dawno year deszcz jesienny year deszcz jesienny year kochasz dawniej year kochasz dawniej year kochasz dawniej year pada deszcz year pada deszcz year pada deszcz year pada deszcz year dobra pogoda szczescie year dobra pogoda szczescie year dobra pogoda szczescie year dobra pogoda szczescie year dozwolone year dozwolone year dozwolone year dozwolone year draussen bei den weiden year draussen bei den weiden year droga ide year droga ide year droga ide year droga ide year jednego year jednego year sowy year sowy year sowy year dziewczyna moich snow year dziewczyna moich snow year betlejem year betlejem year betlejem year ein guter tag year ein guter tag year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year epitafium krzyska year es brennt der wald year florentyna year florentyna year florentyna year florentyna year kiedys zawolam year kiedys zawolam year kiedys zawolam year kiedys zawolam year kogos pokocha year kogos pokocha year kogos pokocha year kogos pokocha year trudno zasnac year trudno zasnac year trudno zasnac year trudno zasnac year gwiazda kiju year gwiazda kiju year gwiazda kiju year hej przyjacielu year heut kennst du mich nicht mehr year heut kennst du mich nicht mehr year historia jednej znajomosci year historia jednej znajomosci year historia jednej znajomosci year historia jednej znajomosci year hochzeit year hochzeit year steh und warte year steh und warte year podobasz year podobasz year podobasz year podobasz year wedrowne ptaki year wedrowne ptaki year wedrowne ptaki year wedrowne ptaki year zycie year zycie year zycie year zycie year usmiech year usmiech year usmiech year usmiech year kraj lakach snu year kraj lakach snu year kraj lakach snu year kraj lakach snu year samo year samo year samo year samo year samo year samo year malarzem nieszczesliwym year malarzem nieszczesliwym year malarzem nieszczesliwym year malarzem nieszczesliwym year jestes dziewczyno tesknota year jestes dziewczyno tesknota year jestes dziewczyno tesknota year jestes dziewczyno tesknota year gra muzyka year gra muzyka year gra muzyka year gra muzyka year raz pierwszy raz year raz pierwszy raz year chcesz year chcesz year chcesz year chcesz year chlopcem year chlopcem year chlopcem year chlopcem year year year zabawki spia year zabawki spia year zabawki spia year kamienne niebo year kim moglbym year kim moglbym year kim moglbym year kim moglbym year kochaj trac year kochaj trac year kochaj trac year kochaj trac year kochalem pania year kochalem pania year kolysanka okruszka year kolysanka okruszka year kolysanka okruszka year kradniesz sny year kradniesz sny year kradniesz sny year kradniesz sny year kradniesz sny year winien year winien year winien year winien year kogo znasz year kogo znasz year kogo znasz year kogo znasz year kwiaty wlosach year kwiaty wlosach year kwiaty wlosach year kwiaty wlosach year latawce moich stron year latawce moich stron year latawce moich stron year latawce moich stron year latawce moich stron year laut statistik year laut statistik year chwile year chwile year chwile year chwile year chwile year lec koledo year lec koledo year lec koledo year licz stu year licz stu year licz stu year licz stu year lubisz gniewam year lubisz gniewam year lubisz gniewam year lubisz gniewam year matura year matura year matura year matura year miasta ludzie year miasta ludzie year miasta ludzie year miasta ludzie year mija rok year mija rok year mija rok year mizerna cicha year mizerna cicha year mizerna cicha year mlodosc sila year moda milosc year moda milosc year moda milosc year moda milosc year droga wiodla year droga wiodla year droga wiodla year droga wiodla year morze wzywa year morze wzywa year morze wzywa year morze wzywa year mosci gospodarzu year mosci gospodarzu year mosci gospodarzu year mowisz kochasz nikt year mowisz kochasz nikt year mowisz kochasz nikt year mowisz kochasz nikt year dwudziestego wieku year dwudziestego wieku year dwudziestego wieku year dwudziestego wieku year dach swiata year dach swiata year fujarce year fujarce year wesele year wesele year niebie krzyz poludnia year niebie krzyz poludnia year niebie krzyz poludnia year niebie krzyz poludnia year morzem year morzem year morzem year morzem year swiatem cicha noc year swiatem cicha noc year swiatem cicha noc year najpiekniejsza year najpiekniejsza year najpiekniejsza year najpiekniejsza year najpiekniejsza year najpiekniejsze sa polskie dziewczyny year najpiekniejsze sa polskie dziewczyny year najpiekniejsze sa polskie dziewczyny year daj nabrac year jestes cisza year jestes cisza year jestes cisza year jestes cisza year licz dni year licz dni year licz dni year licz dni year mow year mow year mow year spoczniemy year spoczniemy year zadzieraj nosa year zadzieraj nosa year zadzieraj nosa year zadzieraj nosa year niebieskooka year niebieskooka year niebieskooka year niebo moich stron year niebo moich stron year niewielkie szczescie year niewielkie szczescie year nikt swiecie wie year nikt swiecie wie year nikt swiecie wie year nocne calowanie year nocne calowanie year nocne calowanie year nocne calowanie year jutra gniewaj year jutra gniewaj year jutra gniewaj year jutra gniewaj year nadziejo year pechowy chlopiec year pechowy chlopiec year pechowy chlopiec year pechowy chlopiec year pejzaz miasta year pejzaz miasta year pejzaz miasta year pejzaz miasta year pierwsza noc year pierwsza noc year pierwsza noc year pierwsza noc year pieciu year pieciu year pieciu year pieciu year piosenka warszawskiej ulicy year plona gory plona lasy year plona gory plona lasy year plona gory plona lasy year plona gory plona lasy year polska year polska year polska year polska year polska year port piratow year port piratow year port piratow year powiedz stary year powiedz stary year powiedz stary year powiedzcie year predzej strop stawiajcie ciesle year predzej strop stawiajcie ciesle year predzej strop stawiajcie ciesle year predzej strop stawiajcie ciesle year probuj year probuj year pierwszym balem year pierwszym balem year pierwszym balem year pierwszym balem year przeterminowana milosc year przeterminowana milosc year przeterminowana milosc year przeterminowana milosc year przeterminowana milosc year przypomnij czas year przypomnij czas year przypomnij czas year przypomnij czas year przypomnij czas year purpurowe zagle year purpurrote segel year purpurrote segel year randka deszczem year randka deszczem year randka deszczem year randka deszczem year remedium year remedium year remedium year rok kaprysna dziewczyna year rok kaprysna dziewczyna year rok kaprysna dziewczyna year rok kaprysna dziewczyna year rytm ziemi year rytm ziemi year niose swiat year niose swiat year senny szept year senny szept year senny szept year senny szept year senny szept year senny szept year senny szept year slowa year slowa year slowo jedyne year slowo jedyne year slowo jedyne year slowo jedyne year spojrz warszawa spi year spojrz warszawa spi year spojrz warszawa spi year spojrz warszawa spi year spojrz warszawa spi year staromodne samochody year staromodne samochody year stoi czlowiek year stoi czlowiek year stoi czlowiek year stracic kogos year stracic kogos year stracic kogos year stracic kogos year strzemiennego year strzemiennego year strzemiennego year szukam tamtej wiosny year szukam tamtej wiosny year szukam tamtej wiosny year szukam tamtej wiosny year sledztwo zakochanego year sledztwo zakochanego year sledztwo zakochanego year sledztwo zakochanego year spiewka zeglarska year spiewka zeglarska year spiewka zeglarska year swieta year staralem year staralem year staralem year staralem year year year year year year year ladne oczy year ladne oczy year ladne oczy year ladne oczy year takiej milosci year chwile year dziewczyna year year year year year year troche wieczorem year trzecia milosc zagle year trzecia milosc zagle year trzymajac rece year trzymajac rece year tyle szczescia year tyle szczescia year ucze zyc year ucze zyc year ucze zyc year ucze zyc year uwierz lili year uwierz lili year uwierz lili year uwierz lili year bursztynowym kregu lata year bursztynowym kregu lata year bursztynowym kregu lata year bursztynowym kregu lata year bursztynowym kregu lata year bursztynowym kregu lata year droge year droge year droge year droge year moich myslach consuelo year moich myslach consuelo year moich myslach consuelo year moich myslach consuelo year weisse boote year weisse boote year wenn du willst year wenn du willst year wezme year wezme year wezme year wezme year wedrowne gitary year wedrowne gitary year wedrowne gitary year wedrowne gitary year wie sand wind year wie sand wind year wieczor redzie year wigilia swiata year wigilia swiata year wigilia swiata year wir ziehen weiter year wir ziehen weiter year wolny wieczor year wolny wieczor year wolny wieczor year wolny wieczor year worte sind wellen year worte sind wellen year wracac year wracac year wracac year wracac year wrocmy jeziora year wrocmy jeziora year wschod slonca stadninie koni year wschod slonca stadninie koni year wschod slonca stadninie koni year wspominam biale swieta year pamietali year pamietali year pamietali year wymarzona milosc year wymarzona milosc year wymarzona milosc year wymarzona milosc year zanim powiesz widzenia year zanim powiesz widzenia year zanim powiesz widzenia year zanim powiesz widzenia year zanim zakwitna laki year zanim zakwitna laki year zanim zakwitna laki year zanim zakwitna laki year zanim zakwitna laki year zanim zakwitna laki year tle year tle year tle year tle year ziemia spiewa year ziemia spiewa year ziemia spiewa year zima zima snieg year zima zima snieg year zima zima snieg year zwiazek socjalistycznej mlodziezy polskiej year zwiazek socjalistycznej mlodziezy polskiej,czerwone_gitary-metric
17,szkolne lata czas purpury przeminęły deszcz potem studia wielkim mieście uciekły dawny pejzaż trochę szkoda horyzont odszedł cóż miłość ciągle młoda kochać chce czegoś brak sercu dziwna pustka chwile wiedzą życie mknie późny wieczór senna pora drzwi puka chłodny wiatr lustrze widzę siebie wczoraj oknem znany kadr okruch szczęścia los przewieje kogoś żal miłość niewiele prosi nikt bal czegoś brak sercu dziwna pustka chwile wiedzą życie mknie czegoś brak sercu dziwna pustka chwile zatrzymać,czerwone_gitary-te_dwie_chwile
18,domy przedmieściu śpią odbicia gwiazd szybach lśnią zaułkach brzmi czyjś płacz śmiech cicho łka wiatr deszcz taką noc spać wciąż skrzypią drzwi trzeszczy dach słucham wciąż śpiewa kominie wiatr wiesz mówi wiatr świecie kocha dni kogo przeznaczył los wiesz mówi wiatr kochasz choć znasz myśli razem choć spotkacie minęła noc ucichł wiatr szyby wydzwania deszcz myślał wciąż choć spotkamy,czerwone_gitary-ktos_kogo_nie_znasz
19,siądziemy świecach skończy dzień kocisko zejdzie pieca szarobury leń zaświeci gwiazdka kolędą tą drogą złą pójdziemy świat gwiazdeczko świecisz hen niedźwiedziom daruj mocny sen smutnym ludziom złoty grosz zboża łan kwiatów kosz gwiazdeczko świecisz het daj każdej babci ciepły pled osiołkom daruj siana bród śpiewaj nut śpiewaj nut ogrzej szybach lód siądziemy niby sowy deser połowie wypijemy łzę zaświeci gwiazdka kolędą tą drogą złą pójdziemy świat gwiazdeczko świecisz daj czarnym kotom cienie bram okrętom morzu syren śpiew raf mew dopóki świecisz mamy raj pyzate dzieci daj daj kochankom daruj zgody cud śpiewaj nut śpiewaj nut ogrzej sercach lód,czerwone_gitary-dwie_sowy
20,jesteś dziewczyno tęsknotą jesteś dziewczyno rozstaniem wiem lata przeminą będziesz powitaniem będziesz dziewczyno spiekotą będziesz dziewczyno pragnieniem będziesz słońcem cieniem rzeką rwącym strumieniem zechcesz dziewczyno będziesz złotą pszczołą kwiatu wnętrzem zechcesz odejść pożegnasz pszczoła opuszcza swój kwiat bądź zmartwieniem zwykłą codzienną troską oddechem ulgi smutku westchnieniem jesteś moją miłością,czerwone_gitary-jestes__dziewczyno__tesknota
21,droga pośród łąk skręca ciemny las milowy kamień przeszłości świat pojawił nikt wie mieszkańców wioski zatrwożył fakt każdego dnia płakał deszcz śmiał łez wiedział życie ii kilku dniach zniknął ślad ponoć widział leśny faun wodą brzegu stał mieszkańców wioski zatrwożył fakt kamień wode wpadł płakał deszcz śmiał łez mógł wiedzieć ważne płakał deszcz śmiał łez wiedział życie życie życie,czerwone_gitary-ballada_o_kamieniu_milowym
22,kraniec siedmiu mórz kraniec siedmiu zórz przypłynął raz kapitan księżycem przywitał zapadł sen śnił mija młodość woda czoło chmurzy częściej nagle pogoda dobra pogoda szczęście nikt otuchy doda cienie kłębią gęściej nagle pogoda dobra pogoda odpowiednia pogoda szczęście coraz trudniej schodach coraz puściej kredensie nagle pogoda dobra pogoda odpowiednia pogoda szczęście tysiąca szarych biur zmęczony wyszedł chór odstawił kąt liczydła wykąpał powidłach zapadł sen śnił mija młodość woda czoło chmurzy częściej nagle pogoda dobra pogoda szczęście nikt otuchy doda cienie kłębią gęściej nagle pogoda dobra pogoda odpowiednia pogoda szczęście coraz trudniej schodach coraz puściej kredensie nagle pogoda dobra pogoda odpowiednia pogoda szczęście,czerwone_gitary-dobra_pogoda_na_szczescie
23,nadchodzi pasterki czas konie zaprzęgajmy czas ilu zebranych saniami pojedziemy wraz dalej dalej pędzą sanie pędzą pędzą dal bis hej kolęda kolęda pochodni blask dzwoneczków brzęk gwiazdami nieba sypie sypie śnieg wkoło krąg przyjaznych rąk daleka słychać kolęd śpiew dalej dalej pędzą sanie pędzą pędzą dal bis hej kolęda kolęda śpiewamy zajedziemy sań wyjdź próg jedną dróg chwilę będziemy dalej dalej pędzą sanie pędzą pędzą dal bis hej kolęda kolęda hej kolęda kolęda,czerwone_gitary-dalej_dalej_pedza_sanie
24,rzecz wcale kocham samo patrząc rzeczy widzieć długo zbyt da choć lepiej wiesz widzieć trochę wstyd przyznać wyszło wiem umiałem spełnić twoich snów lepiej urwałem słów chcesz oceń zamykam oczy widzę twoją twarz wiesz źle lepiej głowy masz zostawiam wiem pewno żyj myśl czeka chcesz oceń zamykam oczy widzę twoją twarz wiesz źle pomyśl głowy masz chcesz oceń zamykam oczy widzę twoją twarz pada deszcz kocham świat zawalił,czerwone_gitary-cos_na_do_widzenia
25,rozdajesz uśmiech swój radosny uśmiech wciąż zazdrosny chciałbym uśmiech należeć mógł chmurne dni uśmiech rozjaśniał zimą ciepło niósł latem dawał cień chłód chciałbym uśmiech należeć mógł śmiejesz dzień śmiejesz święta powiedz pamiętasz chciałbym uśmiech należeć mógł chmurne dni uśmiech rozjaśniał zimą ciepło niósł latem dawał cień chłód chciałbym uśmiech należeć mógł źle uśmiechu ciągle brakuje uśmiech najdroższy choć kosztuje chciałbym uśmiech należeć mógł chmurne dni uśmiech rozjaśniał zimą ciepło niósł latem dawał cień chłód chciałbym uśmiech należeć mógł chciałbym uśmiech należeć mógł chmurne dni uśmiech rozjaśniał zimą ciepło niósł latem dawał cień chłód chciałbym uśmiech należeć mógł,czerwone_gitary-chcialbym__zeby_usmiech_twoj
26,kwiaty włosach potargał wiatr wracasz tamtych zgubionych dni znajdziesz choć przejdziesz świat wszerz wzdłuż kwiaty włosach potargał wiatr dawno zmieniłaś swych marzeń kształt drogi szczęścia choć daleka wołasz powiem powiem wspomnień łatwiej żyć wraca kwiaty włosach potargał wiatr wyrzuć pamięci ostatni ślad drogi szczęścia choć daleka wołasz powiem powiem wspomnień łatwiej żyć wraca kwiaty włosach potargał wiatr wyrzuć pamięci ostatni ślad drogi szczęścia szczęścia,czerwone_gitary-kwiaty_we_wlosach
27,ostatni spacer idąc trzymasz rękę słońce zaszło stromy las wisłą zapada zmierzch pewnie myślą powracasz dalekich rodzinnych stron wołgi brzeg stoi dom gasną ostatnie blaski dnia idziemy razem wodą wstają szare mgły idziemy razem zanim ścichnie twych kroków rytm zanim słońce swój zgasi blask spójrz rzeka zmierzchu lśni słuchaj wiatru liściach gra wrócisz wołgi brzeg będziesz bulwarami szła wspomnisz wspomnisz spacer wspomnisz spacer wspomnisz,czerwone_gitary-trzymajac_sie_za_rece
28,przyjść mogę zaraz idę nocy mrok wyglądaj oknem mgle utonie próżno wzrok cóż kochanie wiedzieć lasu idę spać dłużej mogę siedzieć czeka leśna brać księżyc zaszedł hen lasem wsi szczekają psy pomyśl innej tęskno wrócę dzień noc niebie pocałunków dasz moc wrócę niechaj wiosną rolę moją sieje brat kości mchem porosną użyźnią ziemi szmat pole wyjdź pewnego ranka snop żyta dłonie złóż ucałuj kochanka żyć kłosach zbóż ucałuj kochanka żyć kłosach zbóż,czerwone_gitary-dzis_do_ciebie_przyjsc_nie_moge
29,przypomnij dzień szliśmy razem ciszy koncert przypomnij dzień naprzeciw biegło słońce przypomnij czas spotkały dłonie raz chwilę wróćmy wspomnień zegar wstecz szedł wzleci niebo martwy ptak fale próżno dzwonią brzeg widocznie zostać przypomnij gwiazdy stały widne przypomnij strząsała perły noc skrzydeł przypomnij czas rozłączył ręce słowem zgasł słowem powraca,czerwone_gitary-przypomnij_czas
30,wiary pierwszym balem tremę znajomych spotkam wśród będziesz choć taniec oddaj czekam tyle dni wiary pierwszym balu tremę choć dziewcząt znam chce choć dziewcząt znam chce tańczysz tłumie par chociaż wiesz wiesz kończy bal innym tańczyć chcesz czekam znak znak wiary pecha pierwszego balu wracam choć innym miło płynął czas wśród byłaś pierwszy bal rozdzielił rozwiał sny,czerwone_gitary-przed_pierwszym_balem
31,kołysał zachodni wiatr brzeg rufą nagle papier zbladł sztorm idzie panie bosman bosman zapiął płaszcz zaklął ech czorta daję łajbie szans dziesięć skali beauforta zasłony ołowianych chmur ulewa spadła nagle rzucało górę dół fala zmyła żagle bosman zapiął płaszcz zaklął ech czorta daję łajbie szans dziesięć skali beauforta hej ciepły cichy kąt brzegu kształt znajomy zasnuły mgły daleki ląd dokładnie każdej strony bosman zapiął płaszcz zaklął ech czorta daję łajbie szans dziesięć skali beauforta pokład uderzył deszcz padał rana piekielnie ciężki rejs szczególnie bosmana bosman zapiął płaszcz zaklął ech czorta przedziwne sny dziesięć skali beauforta,czerwone_gitary-10_w_skali_beauforta
